,0
2025-06-08,571776.5103732761
2025-06-09,571776.5103732761
2025-06-10,571776.5103732761
2025-06-11,571776.5103732761
2025-06-12,571776.5103732761
2025-06-13,571776.5103732761
2025-06-14,571776.5103732761
2025-06-15,571776.5103732761
2025-06-16,571776.5103732761
2025-06-17,571776.5103732761
2025-06-18,571776.5103732761
2025-06-19,571776.5103732761
2025-06-20,571776.5103732761
2025-06-21,571776.5103732761
2025-06-22,571776.5103732761
2025-06-23,571776.5103732761
2025-06-24,571776.5103732761
2025-06-25,571776.5103732761
2025-06-26,571776.5103732761
2025-06-27,571776.5103732761
2025-06-28,571776.5103732761
2025-06-29,571776.5103732761
2025-06-30,571776.5103732761
2025-07-01,571776.5103732761
2025-07-02,571776.5103732761
2025-07-03,571776.5103732761
2025-07-04,571776.5103732761
2025-07-05,571776.5103732761
2025-07-06,571776.5103732761
2025-07-07,571776.5103732761
2025-07-08,571776.5103732761
2025-07-09,571776.5103732761
2025-07-10,571776.5103732761
2025-07-11,571776.5103732761
2025-07-12,571776.5103732761
2025-07-13,571776.5103732761
2025-07-14,571776.5103732761
2025-07-15,571776.5103732761
2025-07-16,571776.5103732761
2025-07-17,571776.5103732761
2025-07-18,571776.5103732761
2025-07-19,571776.5103732761
2025-07-20,571776.5103732761
2025-07-21,571776.5103732761
2025-07-22,571776.5103732761
2025-07-23,571776.5103732761
2025-07-24,571776.5103732761
2025-07-25,571776.5103732761
2025-07-26,571776.5103732761
2025-07-27,571776.5103732761
2025-07-28,571776.5103732761
2025-07-29,571776.5103732761
2025-07-30,571776.5103732761
2025-07-31,571776.5103732761
2025-08-01,571776.5103732761
2025-08-02,571776.5103732761
2025-08-03,571776.5103732761
2025-08-04,571776.5103732761
2025-08-05,571776.5103732761
2025-08-06,571776.5103732761
2025-08-07,571776.5103732761
2025-08-08,571776.5103732761
2025-08-09,571776.5103732761
2025-08-10,571776.5103732761
2025-08-11,571776.5103732761
2025-08-12,571776.5103732761
2025-08-13,571776.5103732761
2025-08-14,571776.5103732761
2025-08-15,571776.5103732761
2025-08-16,571776.5103732761
2025-08-17,571776.5103732761
2025-08-18,571776.5103732761
2025-08-19,571776.5103732761
